nome;data_fundacao;unidade;cidade;grau_academico;situacao;modalidade;convenio;ativo;campus_instituto_id_campus_instituto
ADMINISTRAÇÃO;01-01-2010;CALE;Alenquer;BACHARELADO;ATIVO;Presencial;;1;1
AGRONOMIA;01-01-2010;CJUR;Juruti;BACHARELADO;ATIVO;Presencial;;1;3
AGRONOMIA;01-01-2010;IBEF;Santarém;BACHARELADO;ATIVO;Presencial;;1;10
AGRONOMIA - FORMAPARÁ;01-01-2010;CGIFP;Santarém;BACHARELADO;ATIVO;Presencial;FORMAPARA;1;8
ANTROPOLOGIA;01-01-2010;ICS;Santarém;BACHARELADO;ATIVO;Presencial;;1;12
ARQUEOLOGIA;01-01-2010;ICS;Santarém;BACHARELADO;ATIVO;Presencial;;1;12
BIOTECNOLOGIA;01-01-2010;IBEF;Santarém;BACHARELADO;ATIVO;Presencial;;1;10
CIÊNCIA DA COMPUTAÇÃO;01-01-2010;IEG;Santarém;BACHARELADO;ATIVO;Presencial;;1;14
CIÊNCIAS ATMOSFÉRICAS;01-01-2010;IEG;Santarém;BACHARELADO;ATIVO;Presencial;;1;14
CIÊNCIAS BIOLÓGICAS;01-01-2010;CORI;Oriximiná;BACHARELADO;ATIVO;Presencial;;1;5
CIÊNCIAS BIOLÓGICAS;01-01-2010;ICTA;Santarém;BACHARELADO;ATIVO;Presencial;;1;13
CIÊNCIAS BIOLÓGICAS;01-01-2010;ICED;Santarém;LICENCIATURA;ATIVO;Presencial;;1;11
CIÊNCIAS ECONÔMICAS;01-01-2010;ICS;Santarém;BACHARELADO;ATIVO;Presencial;;1;12
DIREITO;01-01-2010;ICS;Santarém;BACHARELADO;ATIVO;Presencial;;1;12
ENGENHARIA CIVIL;01-01-2010;CITB;Itaituba;BACHARELADO;ATIVO;Presencial;;1;2
ENGENHARIA DE AQUICULTURA;01-01-2010;CMAL;Monte Alegre;BACHARELADO;ATIVO;Presencial;;1;4
ENGENHARIA DE CONTROLE E AUTOMAÇÃO;01-01-2010;IEG;Santarém;BACHARELADO;SUSPENSO;Presencial;;1;14
